EventId,EventTemplate,Occurrences
369171cd,Config <*> delete success,7
e2392c3b,<*> config,21
9f86b7a5,[Admin Basic Info <*> <*> by <*>,401
ddb2ee95,"Config: <*> value=123, description=thats an updated description of config)) update success",7
0020d03d,"Config: <*> value=123, description=thats a description of config updated)) create success",7
fb8cb49a,Query <*> <*> success,79
13bbf6a6,Query all <*>,22
4a282af1,[Admin Basic Info Service][Find All <*> by <*>,145
dce4d342,"<*> price, PriceConfigId: <*>",14
20c9483a,"<*> price, RouteId: <*> TrainType: <*>",41
0f3f3534,[Create New Price Config],18
38d443b4,[!!!!GetAllPriceResult],27
91fac38e,"Find all price config warn,No Content",7
0aff3d60,"<*> train,TrainTypeId: <*>",16
56cb04c7,Query <*>,31
b9bcc883,"<*> station,StationId: test id <*>",14
43a9afd9,"Create station,name: test station name",7
1e79c425,<*> Success.,265
d43a6550,"Response(status=0, msg=No contacts according to contacts id, data=null)",28
d1280d04,No <*> according to <*> <*>,9
2e0e59f1,"[Contacts-Modify-Service][ModifyContacts] Fail.Contacts not found, contactId: 44888c05-1a48-438a-8ef6-5688bad947e3",7
d494c496,[Contacts Service][Modify Contacts] ContactsId: <*>,29
e6333555,FIND CONTACTS BY ID: <*>,127
42db581e,"MODIFY CONTACTS: <*> accountId=null, name=my new Contact updated, documentType=1, documentNumber=Document_test, phoneNumber=+43512564002)",29
86cbea3e,[ContactsService][Create Contacts In Admin],27
a0069f83,[Contacts Service][Get All Contacts],31
e7933a98,"Update user error, userName: <*>",7
b2def08c,"Update user error.User not found,UserId: null",7
71079100,"UPDATE USER :UserDto(userId=null, <*> password=test, gender=1, documentType=3, documentNum=123, email=unknownms13@yahoo.com)",32
bbcf23f5,"Update user,UserId: null",7
ad59f69c,"Update User, userName: <*>",7
dc4425dd,"UPDATE USER: <*> password=test, gender=1, documentType=3, documentNum=123, email=unknownms13@yahoo.com)",32
a9ce8407,"Add user success, userName: <*>",7
290ba227,Send authorization message to ts-auth-service....,27
3600205b,"Check user create info, userId: <*> userName: <*>",7
47208561,Register User Info is: <*>,27
ea5405e0,Create default auth user with authDto: <*> <*> password=1234),7
0c360d33,CALL TO AUTH,27
6bfea317,AuthDto : <*> <*> password=1234),27
f4943eed,"Register user,User name: <*>",7
f557c46f,Save User Name <*>,27
c75240b7,"<*> <*> <*> <*> <*> password=1234, gender=1, documentType=1, documentNum=Passport123, email=unknownms13@yahoo.com)",28
7e5a973f,"Add user, userName: <*>",7
b5141e0c,Get All Users,7
8828663b,Get all <*>,26
2cf2e7b4,Admin add new travel,7
c80ce6c0,"Create trip error.Trip already exists,TripId: G1234",7
6ee00295,"Create trip,TripId: G1234",7
8ac71f97,"Add travel, trip id: G1234, train type id: GaoTieOne, form station test1 to station , login id: null",7
ba36cfdf,"Delete error, response code: 200",7
0f59ad7f,"Delete route,RouteId: <*>",7
9c64b1bf,"Delete route, route id: <*>",7
ddc6e533,"Get <*> error, response code: 200",15
f5df7a00,<*> success,197
b16dc563,"Create route, start: test1, end: test4",7
13fec46c,Create And Modify Start: <*> End: <*>,197
583b8a2d,"Create and modify route, route id: null, from station test1 to station test4",7
851382bb,Get all routes request,8
ccc2884f,[Food Map Service][Get <*> By <*>,84
5f4076fd,"Query for station id,StationName: <*> <*>",357
d804fac1,"Route is: Route{id='f3d4d4ef-693b-4456-8eed-59c0d717dd08', stations=[shanghai, suzhou], distances=[0, 50], startStationId='shanghai', terminalStationId='suzhou'}",559
f779693f,"Routes Response is : Response(status=1, msg=Success, <*> <*> <*> distances=[0, <*> <*> <*>",844
a222963e,"Query route by id, RouteId: <*>",253
122e0d4b,[Travel Service][Get Route By Id] Route <*>,1421
d55aa418,[Get Route By Trip <*> TripId: <*>,576
55607e4f,Get Train Food List!,7
270e4a7c,[Food Service]Get the Get Food Request!,77
0ddf2a32,<*> <*> <*> <*> Zhou <*>,61
4f7becb8,"find all assurance type success, list size: 1",8
78656348,Get Assurance Type,8
368a6451,[Contacts-Query-Service][Query-Contacts] Result Size: 2,76
81b821ff,[Contacts Service][Find Contacts By Account Id: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,76
076ed0bf,[ContactsService][VerifyLogin] Success,76
aa9cde16,[Modify Order Status] Order Id: <*>,44
377a923e,[Find All Order],54
e9b6776a,[Get Order By Id] Order Id: <*>,75
5b9741ab,ticket <*> error: Order <*> <*> orderId: <*>,3
004e97f9,[Execute] Id: <*>,4
a38555f3,[Execute <*> Order] <*>,76
21bcc80e,"Name List is: Response(status=1, msg=Success, data=[Nan Jing, Shang Hai Hong Qiao, Shang Hai, Bei Jing, Shang Hai, <*> <*> <*> <*> <*> <*> Shang Hai, Su Zhou, <*> <*> <*> <*> <*> <*> <*> <*>",21
8dc3ba2f,"Stations name list is : Response(status=1, msg=Success, data=[Shang Hai, Tai Yuan])",80
78851939,"Query stations for name batch,StationIdNumbers: <*>",28
20d11129,[Query Order][Step 1] Get Orders Number of Account: <*>,51
279bac6f,"[Query Order] Orders don't fit the requirement, loginId: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f",51
8f0e5bb7,[Query Orders] Query Orders for 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,51
db7d54fd,<*> ___ st,121
e1c753fb,Image code,13
7600a7f4,"Order not found, OrderId: <*>",23
ce7fd85e,[Collect] Id: <*>,3
e01665ee,"Get user by user id,UserId: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f",8
851760c9,Save delivery object into database success,6
6e12b265,[Cancel Order <*> Order <*> <*>,84
891a7a9e,[Step 7] Do not need to consign,5
3d4ac8a2,[Step 6] Buy Food Success,6
a91a7e06,"Receive delivery object:Delivery(id=null, <*> foodName=Bone Soup, storeName=null, stationName=null)",6
34d7f0cb,"[AddFoodOrder] delivery info <*> Soup"",""storeName"":null,""stationName"":null}] send to mq",6
851bce39,"Send info to <*> Soup"",""storeName"":null,""stationName"":null}",6
eed8ea75,[Food Service]Try to Create a FoodOrder!,72
796ef025,[Step 4] Do Order Complete,6
ab87ef3d,[Preserve Service][Add food Order] Creating....,70
b0a23fd4,[Step 5] Do not need to buy assurance,6
36d636fa,[Order <*> Success.,55
2dd5fac2,[Order Create] Price: <*>,47
5d73bb02,[Create Order] Ready Create <*>,47
382adf9f,[Create Order] Create Order form <*> ---> <*> at <*> <*> <*> 08:00:00 CST 2022,46
2722e971,[Verify Login] Success,51
7aaa8bd1,[Order Price] Price is: <*>,6
02ef3724,<*> Other Service][Get <*> By Id] <*>,334
db5882c0,<*> The request seat type is <*> and the total num is 2147483647,78
c27bdbe3,"<*> <*> The result of getTrainTypeResult is Response(status=1, msg=Success, <*> economyClass=2147483647, confortClass=2147483647, <*>",336
51cb6c33,[distributeSeat] Use a new seat number! <*>,6
32c8ab52,"Retrieve train,TrainTypeId: <*>",140
8001a623,"Get train Type by Trip id,TripId: <*>",70
c6959d54,"Left ticket info <*> <*> <*> <*> <*> startStation=shanghai, destStation=suzhou), <*> startStation=shanghai, destStation=suzhou), <*> startStation=shanghai, <*>",13
5080d164,"Left ticket info is: <*> startStation=shanghai, destStation=suzhou), <*> startStation=shanghai, destStation=suzhou), <*> startStation=shanghai, destStation=suzhou)]}",21
ec2bae32,<*> <*> <*> Date: <*> <*> <*> 08:00:00 CST 2022,297
