EventId,EventTemplate,Occurrences
46c6d92e,Span reported: <*> - <*>,23015
db435f95,"UPDATE USER :UserDto(userId=null, <*> password=test, gender=1, <*> documentNum=123, email=unknownms13@yahoo.com)",32
290ba227,Send authorization message to ts-auth-service....,28
0c360d33,CALL TO AUTH,28
6bfea317,AuthDto : <*> <*> password=1234),27
f557c46f,Save User Name <*>,32
5f986190,Route id: <*>,1365
f5df7a00,<*> success,213
13fec46c,Create And Modify Start: <*> End: <*>,215
5fdebca9,Create Route id: null,20
e794c908,[Order Other Service][Find All Order],74
a38555f3,[Execute <*> Order] <*>,59
90ff844b,[Execute <*> Id: <*>,26
5dfaa9c9,<*> <*> initialization completed in <*> ms,1123
9790213c,FrameworkServlet 'dispatcherServlet': initialization started,351
096b6230,Initializing Spring <*> <*>,1123
314c5df1,"Out pay result: Response(status=1, msg=Pay Success, data=null)",14
6b8fb7d9,[Inside Payment Service][Pay] Pay for: <*>,31
a57cb81e,"Stations name list is : Response(status=1, msg=Success, data=[Shang Hai, Tai Yuan, Nan Jing, Xu Zhou])",1
f75e9395,[Order Other Service][Query Order][Step 1] Get Orders Number of Account: <*>,71
091395fe,[Order Other Service][Query Order] Get order num: <*>,71
209115d5,[Order Other Service][Query Orders] Query Orders for 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,118
d804fac1,"Route is: Route{id='f3d4d4ef-693b-4456-8eed-59c0d717dd08', stations=[shanghai, suzhou], distances=[0, 50], startStationId='shanghai', terminalStationId='suzhou'}",485
122e0d4b,[Travel Service][Get Route By Id] Route <*>,1178
f779693f,"Routes Response is : Response(status=1, msg=Success, <*> <*> <*> distances=[0, <*> <*> <*>",714
d55aa418,[Get Route By Trip <*> TripId: <*>,450
1990d1aa,[Train Service] calculate <*> time: Sat May 04 <*> CST 2013,310
82c67fe3,"Get Rest tickets num is: Response(status=1, msg=Get Left Ticket of Internal Success, <*>",320
3f75b355,"Query for Station id is: Response(status=1, msg=Success, <*>",980
12826d7a,"Seat request To String: <*> <*> <*> 08:00:00 CST 2022, <*> <*> <*> <*>",639
b03f3ede,"Order info is: Response(status=1, msg=Success, <*> <*> <*> 22:00:00 CST 2022, <*> noSeat=0, businessSeat=0, firstClassSeat=0, secondClassSeat=0, hardSeat=0, softSeat=0, hardBed=0, softBed=0, highSoftBed=0))",159
f2b045a7,"Ts-basic-service ticket info is: Response(status=1, msg=Success, data={status=true, percent=1.0, <*> economyClass=2147483647, confortClass=2147483647, <*> <*> <*>",159
fa83ac0b,<*> <*> TripId: <*>,73
d8c01057,[Order Other Service][Security Info Get],83
db7d54fd,<*> ___ st,123
f9e8d674,[Order Other Service][Order Create] Price: <*>,17
2748eb7e,[Order Other Service][Order Create] Success.,17
031d7313,[Order Other Service][Create Order] Create Order form nanjing  ---> xuzhou at Tue Jul 12 08:00:00 CST 2022,1
961df617,[Order Other Service][Verify Login] Success,9
43286ef8,[Order Other Service][Create Order] Ready Create Order,17
ca895211,[Order Other Service][Get Sold Ticket] Date: <*> Jul <*> 08:00:00 CST 2022,7
78162d0c,[Price Service][Find By Route Id And Train Type],220
315a949e,[Price Service][Find By Route And Train Type] Rote: <*> Train Type: <*>,220
40df3b84,[Order Other Service][Calculate Sold Ticket] Get Orders Number: 0,3
18b6a453,[Order Other Service][Calculate Sold Tickets] Date: <*> <*> <*> 22:00:00 CST 2022 TrainNumber: <*>,82
e6333555,FIND CONTACTS BY ID: <*>,114
dede275d,<*> <*>,317
1c9bcb5f,[ContactsService][Contacts Id Print] <*>,86
b81e15d7,[Security Service] Max In One Hour: 2147483647  Max Not Use: 2147483647,82
1d64e9a4,[Security Service][Get Order Other Info For Security] Last One Hour: 0 Total Valid Order: <*>,82
98f55c7e,[Security Service][Get <*> <*> Info],164
8e17ff3f,[Security Service][Get Order Other Info For Security] Getting....,82
d34a58e3,<*> <*> <*> Info For Security] Last One Hour: 0 Total Valid Order: <*>,85
74ce89b8,[Order Other Service][Security Info Get] 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,36
e9a7cdd6,[Security Service][Check Security] Check Account Id: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,82
5599dbf3,<*> <*> <*> Info For Security] Getting....,85
ccc2884f,[Food Map Service][Get <*> By <*>,68
49774255,[Contacts-Query-Service][Query-Contacts] Result Size: <*>,64
81b821ff,[Contacts Service][Find Contacts By Account Id: 4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,64
d58073a7,<*> <*> Service][Get <*> By Id] <*>,494
a0f83df5,"[TravelService][getTickets] route: 9fc9c261-3263-4bfa-82f8-bb44e06b2f52  station: [nanjing, xuzhou, jinan, beijing]",2
6ef2cdae,"Configs is : Config(name=DirectTicketAllocationProportion, value=0.5, description=Allocation Proportion Of The Direct Ticket - From Start To End)",318
